department_key,department_name
10,Product Management
11,Product Design
12,Product Operations
13,Engineering - Backend
14,Engineering - Frontend
15,Engineering - Mobile
16,Engineering - Data
17,Engineering - DevOps
18,Engineering - QA
19,Engineering - Security
20,Customer Success
21,Customer Support
22,User Acquisition
23,Growth Marketing
24,Performance Marketing
25,Content & Brand
26,Product Marketing
27,Community & Social
28,Partnerships
29,Finance
30,Accounting
31,Financial Planning
32,Treasury
33,Compliance
34,Legal
35,Risk & Fraud
36,People Operations
37,Recruiting
38,Operations
39,Data Analytics
40,Business Intelligence
