campaign_fact_id,date,campaign_key,product_key,channel_key,region_key,spend,leads_generated,impressions
1,2024-01-01,85,38,609,402,2671.26,415,82153
2,2024-01-01,3,25,600,401,617.45,130,379713
3,2024-01-01,26,80,606,400,10528.91,210,227635
4,2024-01-01,100,21,616,403,3958.60,222,6534
5,2024-01-01,7,75,605,400,3114.20,255,412119
6,2024-01-01,66,9,602,402,2495.69,465,256416
7,2024-01-01,77,36,619,400,1917.21,165,61704
8,2024-01-01,100,25,608,403,4765.82,1319,131015
9,2024-01-01,1,75,604,400,13060.86,333,130429
10,2024-01-01,85,77,618,402,4607.60,92,26192
11,2024-01-01,88,93,607,403,3058.83,743,33828
12,2024-01-01,22,42,607,400,9738.68,333,35118
13,2024-01-01,44,83,613,402,12641.57,791,404695
14,2024-01-01,86,99,604,403,14413.53,302,42795
15,2024-01-01,25,86,617,400,2441.26,198,83345
16,2024-01-01,63,4,608,400,4461.02,597,157747
17,2024-01-01,17,25,605,403,8240.29,208,214368
18,2024-01-01,74,12,604,402,14810.41,367,472021
19,2024-01-01,71,39,618,402,1042.49,180,15016
20,2024-01-01,89,35,604,401,11415.95,389,281221
21,2024-01-01,57,15,604,402,9163.96,284,429445
22,2024-01-01,11,41,605,400,3583.49,450,42916
23,2024-01-01,94,23,600,400,1855.09,627,612811
24,2024-01-01,86,57,608,403,3492.16,518,193098
25,2024-01-01,97,21,604,400,2397.83,448,427735
26,2024-01-01,73,42,608,403,4926.59,530,183977
27,2024-01-01,45,22,613,400,19442.78,744,337637
28,2024-01-01,37,63,612,401,7407.88,764,374705
29,2024-01-01,40,58,610,402,339.48,273,67994
30,2024-01-01,1,10,615,403,4348.74,116,76097
31,2024-01-01,62,15,600,400,137.80,668,892541
32,2024-01-01,95,44,610,402,412.40,225,76288
33,2024-01-01,75,9,611,402,1266.95,60,38635
34,2024-01-01,69,42,617,403,324.66,280,39441
35,2024-01-01,82,32,617,400,3779.06,238,95451
36,2024-01-01,27,75,612,403,6065.52,850,145873
37,2024-01-01,9,82,600,403,1011.74,317,119676
38,2024-01-01,42,15,601,400,10634.43,328,331238
39,2024-01-01,70,81,615,402,4953.02,33,65071
40,2024-01-01,22,97,615,401,300.37,298,70634
41,2024-01-01,80,45,603,402,2203.85,100,170987
42,2024-01-01,100,72,603,403,3866.73,214,209467
43,2024-01-01,30,77,615,401,1761.09,299,57890
44,2024-01-01,42,97,605,402,2240.49,77,328149
45,2024-01-01,82,8,607,403,3361.68,457,22987
46,2024-01-01,31,61,617,400,1166.84,268,24509
47,2024-01-01,29,59,614,402,2119.17,262,87997
48,2024-01-01,3,65,618,402,1840.31,151,79711
49,2024-01-01,56,89,613,400,15136.59,741,53646
50,2024-01-01,51,64,609,402,1166.60,566,122129
51,2024-01-01,52,34,600,400,621.78,551,728228
52,2024-01-01,14,56,605,403,4093.25,295,413377
53,2024-01-01,78,20,608,400,2614.27,1256,196519
54,2024-01-01,88,58,614,400,1199.77,32,55929
55,2024-01-01,53,14,601,400,11343.23,436,391823
56,2024-01-01,24,100,603,403,10926.03,217,213581
57,2024-01-01,30,28,606,403,7156.91,409,197514
58,2024-01-01,44,15,609,400,1450.09,948,26349
59,2024-01-01,27,52,616,403,214.04,195,6682
60,2024-01-01,19,33,617,400,520.34,38,61102
61,2024-01-01,88,27,609,400,7404.43,838,182478
62,2024-01-01,20,12,615,402,839.05,292,79443
63,2024-01-01,90,77,607,401,6038.43,702,7688
64,2024-01-01,67,78,612,400,11929.47,874,374828
65,2024-01-01,27,71,612,403,23095.14,324,460255
66,2024-01-01,2,60,601,402,7118.67,98,30543
67,2024-01-01,82,13,612,400,8684.34,414,230732
68,2024-01-01,33,87,613,402,16736.63,687,384360
69,2024-01-01,10,72,612,400,20067.60,448,265069
