sale_id,date,customer_key,product_key,region_key,amount,units
1,2024-01-01,206,4,402,100.00,1
2,2024-01-01,24,4,402,100.00,1
3,2024-01-01,130,13,400,0.00,1
4,2024-01-01,523,47,400,40.00,1
5,2024-01-01,286,53,400,0.00,1
6,2024-01-01,666,3,401,75.00,1
7,2024-01-01,353,39,403,0.00,1
8,2024-01-01,318,78,401,160.00,1
9,2024-01-01,380,34,402,0.00,1
10,2024-01-01,391,88,400,160.00,1
11,2024-01-01,19,93,400,0.00,1
12,2024-01-01,632,33,402,0.00,1
13,2024-01-01,604,28,400,60.00,1
14,2024-01-01,33,82,401,140.00,1
15,2024-01-01,272,3,400,75.00,1
16,2024-01-01,742,41,400,4.00,1
17,2024-01-01,205,4,401,100.00,1
18,2024-01-01,470,2,400,50.00,1
19,2024-01-01,705,3,403,75.00,1
20,2024-01-01,830,1,400,25.00,1
21,2024-01-01,465,3,400,75.00,1
22,2024-01-02,163,3,401,75.00,1
23,2024-01-02,34,4,401,100.00,1
24,2024-01-02,692,23,401,1.00,1
25,2024-01-02,705,22,401,5.00,1
26,2024-01-02,482,27,400,175.00,1
27,2024-01-02,162,71,402,160.00,1
28,2024-01-02,197,4,402,100.00,1
29,2024-01-02,404,3,400,75.00,1
30,2024-01-02,466,88,400,30.00,1
31,2024-01-02,685,66,400,125.00,1
32,2024-01-02,731,3,401,75.00,1
33,2024-01-02,308,3,401,75.00,1
34,2024-01-02,852,74,402,160.00,1
35,2024-01-02,695,3,401,75.00,1
36,2024-01-02,562,53,403,0.00,1
37,2024-01-02,319,13,400,0.00,1
38,2024-01-02,514,3,402,75.00,1
39,2024-01-02,169,41,402,2.00,1
40,2024-01-03,489,1,401,25.00,1
41,2024-01-03,296,2,400,50.00,1
42,2024-01-03,598,2,400,50.00,1
43,2024-01-03,284,48,400,30.00,1
44,2024-01-03,339,2,401,50.00,1
45,2024-01-03,581,3,401,75.00,1
46,2024-01-03,244,4,401,100.00,1
47,2024-01-03,268,88,402,160.00,1
48,2024-01-03,656,88,403,120.00,1
49,2024-01-03,649,73,401,30.00,1
50,2024-01-03,145,48,401,225.00,1
51,2024-01-03,474,31,402,0.00,1
52,2024-01-03,722,4,403,100.00,1
53,2024-01-03,13,35,400,0.00,1
54,2024-01-03,471,4,400,100.00,1
55,2024-01-03,127,3,402,75.00,1
56,2024-01-03,558,61,400,80.00,1
57,2024-01-03,777,36,400,0.00,1
58,2024-01-03,714,88,400,160.00,1
59,2024-01-03,207,3,403,75.00,1
60,2024-01-03,609,13,403,0.00,1
61,2024-01-03,730,2,401,50.00,1
62,2024-01-04,246,2,402,50.00,1
63,2024-01-04,627,3,403,75.00,1
64,2024-01-04,939,2,402,50.00,1
65,2024-01-04,764,4,402,100.00,1
66,2024-01-04,441,4,400,100.00,1
67,2024-01-04,306,85,401,60.00,1
68,2024-01-04,792,4,401,100.00,1
69,2024-01-04,127,3,401,75.00,1
70,2024-01-04,569,4,403,100.00,1
71,2024-01-04,594,76,400,160.00,1
72,2024-01-04,773,49,402,130.00,1
73,2024-01-04,715,68,401,275.00,1
74,2024-01-04,435,3,401,75.00,1
75,2024-01-04,776,64,402,120.00,1
76,2024-01-04,710,3,402,75.00,1
77,2024-01-04,121,45,400,2.00,1
78,2024-01-04,206,21,402,3.00,1
79,2024-01-04,601,23,401,3.00,1
80,2024-01-05,178,4,401,100.00,1
81,2024-01-05,244,10,400,0.00,1
82,2024-01-05,566,4,402,100.00,1
83,2024-01-05,885,93,402,0.00,1
84,2024-01-05,382,43,401,3.00,1
85,2024-01-05,255,3,403,75.00,1
86,2024-01-05,807,23,403,5.00,1
87,2024-01-05,33,21,402,1.00,1
88,2024-01-05,454,3,402,75.00,1
89,2024-01-05,645,3,400,75.00,1
90,2024-01-05,663,3,401,75.00,1
91,2024-01-05,792,2,403,50.00,1
92,2024-01-05,584,42,402,6.00,1
93,2024-01-05,140,10,401,0.00,1
94,2024-01-05,517,3,400,75.00,1
95,2024-01-05,464,4,401,100.00,1
96,2024-01-05,751,5,400,150.00,1
