opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000001,,ACC000320,New User - ACC000320,Verification Pending,111.46,75,,2023-12-04,TikTok,New User,44
OPP00000002,,ACC000567,New User - ACC000567,Lead,267.58,75,,2023-12-12,App Store,New User,
OPP00000003,,ACC000485,Premium Upgrade - ACC000485,Signup Complete,187.81,75,,2023-12-03,Google Ads,Premium Upgrade,5
OPP00000004,,ACC000040,New User - ACC000040,Signup Complete,155.36,10,,2023-12-08,Referral,New User,
OPP00000005,,ACC000678,New User - ACC000678,Activated,192.65,75,,2023-12-13,Instagram,New User,
OPP00000006,,ACC000463,New User - ACC000463,Activated,112.42,75,,2023-12-23,Email,New User,1
OPP00000007,7,ACC000893,Premium Upgrade - ACC000893,Closed Won,156.86,100,2024-01-07,2023-12-24,Google Ads,Premium Upgrade,10
OPP00000008,,ACC000592,New User - ACC000592,Verification Pending,255.08,10,,2023-12-22,Facebook Ads,New User,83
OPP00000009,,ACC000048,New User - ACC000048,Signup Complete,92.56,10,,2023-12-25,Influencer,New User,84
OPP00000010,,ACC000974,New User - ACC000974,Signup Complete,92.89,75,,2023-12-27,Referral,New User,5
OPP00000011,,ACC000166,New User - ACC000166,Verification Pending,221.23,50,,2023-12-26,Instagram,New User,85
OPP00000012,12,ACC000646,New User - ACC000646,Closed Won,76.84,100,2024-01-14,2023-12-26,Email,New User,
OPP00000013,13,ACC000725,Returning User - ACC000725,Closed Won,138.75,100,2024-01-10,2023-12-19,Play Store,Returning User,
OPP00000014,,ACC000700,New User - ACC000700,Lead,63.91,50,,2023-12-09,Play Store,New User,
OPP00000015,,ACC000183,New User - ACC000183,Verification Pending,126.14,75,,2023-12-27,Influencer,New User,79
OPP00000016,,ACC000426,New User - ACC000426,Signup Complete,201.40,75,,2023-12-06,Google Ads,New User,
OPP00000017,,ACC000238,New User - ACC000238,Activated,56.22,50,,2023-12-23,Play Store,New User,
OPP00000018,18,ACC000693,Returning User - ACC000693,Closed Won,74.84,100,2024-01-13,2023-12-22,Google Ads,Returning User,82
OPP00000019,19,ACC000022,New User - ACC000022,Closed Won,278.44,100,2024-01-01,2023-12-09,Influencer,New User,99
OPP00000020,20,ACC000112,New User - ACC000112,Closed Won,458.68,100,2024-01-15,2023-12-20,Organic Search,New User,96
OPP00000021,,ACC000614,New User - ACC000614,Activated,280.88,10,,2023-12-19,Instagram,New User,13
OPP00000022,,ACC000604,New User - ACC000604,Verification Pending,90.78,75,,2023-12-10,Play Store,New User,
OPP00000023,,ACC000534,Returning User - ACC000534,Activated,257.57,50,,2023-12-16,Play Store,Returning User,66
OPP00000024,24,ACC000617,New User - ACC000617,Closed Won,231.62,100,2024-01-11,2023-12-02,Organic Search,New User,34
OPP00000025,,ACC000270,New User - ACC000270,Signup Complete,218.61,10,,2023-12-24,Facebook Ads,New User,
OPP00000026,,ACC000048,New User - ACC000048,Activated,270.99,75,,2023-12-19,Instagram,New User,65
OPP00000027,,ACC000723,Returning User - ACC000723,Activated,143.78,75,,2023-12-05,Facebook Ads,Returning User,70
OPP00000028,28,ACC000045,New User - ACC000045,Closed Won,206.19,100,2024-01-11,2023-12-21,Referral,New User,
OPP00000029,,ACC000729,New User - ACC000729,Signup Complete,189.04,75,,2023-12-15,Play Store,New User,97
OPP00000030,,ACC000328,Premium Upgrade - ACC000328,Verification Pending,141.07,25,,2023-12-25,Organic Search,Premium Upgrade,
OPP00000031,,ACC000277,Premium Upgrade - ACC000277,Activated,167.79,75,,2023-12-29,Email,Premium Upgrade,71
OPP00000032,32,ACC000229,New User - ACC000229,Closed Won,63.35,100,2024-01-05,2023-12-15,TikTok,New User,
OPP00000033,,ACC000559,New User - ACC000559,Signup Complete,276.80,50,,2023-12-20,TikTok,New User,95
OPP00000034,34,ACC000908,New User - ACC000908,Closed Won,280.68,100,2024-01-03,2023-12-09,App Store,New User,42
OPP00000035,35,ACC000969,New User - ACC000969,Closed Won,87.83,100,2024-01-11,2023-12-21,Referral,New User,45
OPP00000036,36,ACC000258,New User - ACC000258,Closed Won,358.95,100,2024-01-07,2023-12-31,App Store,New User,
OPP00000037,,ACC000542,New User - ACC000542,Lead,101.69,25,,2023-12-19,Play Store,New User,16
OPP00000038,,ACC000834,New User - ACC000834,Lead,155.45,75,,2023-12-17,Organic Search,New User,
OPP00000039,39,ACC000027,New User - ACC000027,Closed Won,332.75,100,2024-01-07,2024-01-01,Instagram,New User,
OPP00000040,,ACC000891,New User - ACC000891,Activated,216.20,75,,2023-12-31,Play Store,New User,38
OPP00000041,,ACC000978,New User - ACC000978,Signup Complete,289.73,25,,2023-12-18,Referral,New User,73
OPP00000042,42,ACC000144,Returning User - ACC000144,Closed Won,478.72,100,2024-01-12,2023-12-15,App Store,Returning User,23
OPP00000043,,ACC000300,New User - ACC000300,Verification Pending,99.85,75,,2023-12-27,TikTok,New User,49
OPP00000044,,ACC000305,New User - ACC000305,Activated,207.79,50,,2023-12-10,Referral,New User,
OPP00000045,,ACC000223,Returning User - ACC000223,Activated,97.87,10,,2023-12-07,Google Ads,Returning User,
OPP00000046,,ACC000437,New User - ACC000437,Activated,212.34,50,,2023-12-12,Facebook Ads,New User,
OPP00000047,,ACC000566,New User - ACC000566,Signup Complete,96.66,25,,2024-01-02,Influencer,New User,
OPP00000048,,ACC000280,New User - ACC000280,Activated,139.64,10,,2023-12-09,Google Ads,New User,
